dataset,method,tag,n_seeds,seeds,epochs,best_auroc,best_aupr,valsel_auroc,valsel_aupr,config_sha8,rotation_files
computers,outpost,E400_T_nosynth,3,0 1 42,400,0.8510 +- 0.0063,0.6438 +- 0.0124,0.7564,0.5082,b8dac820,15
computers,outpost,E400_T_warmup15,3,0 1 42,400,0.8505 +- 0.0079,0.6375 +- 0.0167,0.7918,0.5426,ae6420fe,15
computers,demo,E400_demo,10,0 1 2 3 4 5 6 7 8 42,400,0.7782 +- 0.0150,0.5289 +- 0.0245,0.7274,0.4577,7250bfec,50
computers,outpost,E400_nogate,10,0 1 2 3 4 5 6 7 8 42,400,0.8495 +- 0.0125,0.6503 +- 0.0098,0.7709,0.5309,70c94d0f,50
computers,nsreg,E400_nsreg,10,0 1 2 3 4 5 6 7 8 42,400,0.8370 +- 0.0228,0.6055 +- 0.0202,0.7855,0.5259,14341520,50
computers,outpost,E400_outpost,10,0 1 2 3 4 5 6 7 8 42,400,0.8510 +- 0.0101,0.6521 +- 0.0092,0.7715,0.5324,a9f6c239,50
computers,outpost,L_lean,5,0 1 2 3 42,200,0.7569 +- 0.0093,0.4946 +- 0.0172,0.7285,0.4567,aaa19861,25
computers,nsreg,N201_nsreg,5,0 1 2 3 42,201,0.8085 +- 0.0112,0.5649 +- 0.0147,0.7782,0.5124,56c6cef9,25
computers,nsreg,NT_lr0.001_wd0.0001,3,0 1 42,400,0.8336 +- 0.0142,0.6063 +- 0.0197,0.7798,0.5223,47e462e8,15
computers,nsreg,NT_lr0.003_wd0.0,3,0 1 42,400,0.8329 +- 0.0180,0.5938 +- 0.0213,0.7855,0.5229,74a5ba1f,15
computers,nsreg,NT_lr0.003_wd0.0001,3,0 1 42,400,0.8388 +- 0.0142,0.6126 +- 0.0215,0.7813,0.5194,603db7db,15
computers,outpost,T_Kp12,3,0 1 42,200,0.8236 +- 0.0181,0.5981 +- 0.0283,0.7717,0.5140,ac1d6856,15
computers,outpost,T_Kp4,3,0 1 42,200,0.8203 +- 0.0159,0.5967 +- 0.0237,0.7502,0.4877,e369a655,15
computers,outpost,T_drop0.3,3,0 1 42,200,0.8159 +- 0.0192,0.5947 +- 0.0289,0.7593,0.5237,dfebf151,15
computers,outpost,T_hidden128,3,0 1 42,200,0.8240 +- 0.0228,0.6046 +- 0.0324,0.7647,0.5144,5f70938a,15
computers,outpost,T_hidden32,3,0 1 42,200,0.8193 +- 0.0140,0.5934 +- 0.0213,0.7702,0.5068,d65000f5,15
computers,outpost,T_lambda_un0.5,3,0 1 42,200,0.8095 +- 0.0171,0.5826 +- 0.0326,0.7554,0.4998,4a3f5b52,15
computers,outpost,T_lambda_un1.5,3,0 1 42,200,0.8261 +- 0.0167,0.5988 +- 0.0201,0.7579,0.5037,ec9a5f95,15
computers,outpost,T_nosynth,3,0 1 42,200,0.8205 +- 0.0069,0.6024 +- 0.0152,0.7519,0.4988,b38ad9e2,15
