run,dataset,config,seed,group,scope,rotation,n_epochs,best_roc,best_pr,best_uroc,best_upr,atbestval_roc,atbestval_pr,atbestval_epoch,max_val_auc
P_cs_base_stream42_PARTIAL,?,?,?,unmapped,rotation0,0,73,0.9841,0.9598,0.9822,0.9468,0.8598,0.7336,17,1.0
P_cs_base_stream42_PARTIAL,?,?,?,unmapped,AGGREGATE,-1,73,0.9841,0.9598,0.9822,0.9468,0.8598,0.7336,-1,1.0
SS100_yelp_s0,?,?,?,unmapped,rotation0,0,400,0.7709,0.4344,0.5,0.0,0.7707,0.4233,328,0.6775
SS100_yelp_s0,?,?,?,unmapped,AGGREGATE,-1,400,0.7709,0.4344,0.5,0.0,0.7707,0.4233,-1,0.6775
SS100_yelp_s1,?,?,?,unmapped,rotation0,0,400,0.7529,0.3754,0.5,0.0,0.7466,0.3705,384,0.7489
SS100_yelp_s1,?,?,?,unmapped,AGGREGATE,-1,400,0.7529,0.3754,0.5,0.0,0.7466,0.3705,-1,0.7489
SS100_yelp_s42,?,?,?,unmapped,rotation0,0,400,0.7515,0.3978,0.5,0.0,0.7506,0.3978,394,0.7365
SS100_yelp_s42,?,?,?,unmapped,AGGREGATE,-1,400,0.7515,0.3978,0.5,0.0,0.7506,0.3978,-1,0.7365
SS50_yelp_s0,?,?,?,unmapped,rotation0,0,400,0.762,0.4141,0.5,0.0,0.7598,0.4033,360,0.6889
SS50_yelp_s0,?,?,?,unmapped,AGGREGATE,-1,400,0.762,0.4141,0.5,0.0,0.7598,0.4033,-1,0.6889
SS50_yelp_s1,?,?,?,unmapped,rotation0,0,400,0.7409,0.3568,0.5,0.0,0.7393,0.3555,396,0.7472
SS50_yelp_s1,?,?,?,unmapped,AGGREGATE,-1,400,0.7409,0.3568,0.5,0.0,0.7393,0.3555,-1,0.7472
SS50_yelp_s42,?,?,?,unmapped,rotation0,0,400,0.748,0.3831,0.5,0.0,0.7445,0.3695,339,0.7577
SS50_yelp_s42,?,?,?,unmapped,AGGREGATE,-1,400,0.748,0.3831,0.5,0.0,0.7445,0.3695,-1,0.7577
SSP_photo_stream42,?,?,?,unmapped,rotation0,0,200,0.7948,0.5416,0.6213,0.0582,0.7657,0.5336,136,0.9957
SSP_photo_stream42,?,?,?,unmapped,rotation1,1,200,0.7856,0.4374,0.8018,0.1725,0.7643,0.4341,159,0.9947
SSP_photo_stream42,?,?,?,unmapped,AGGREGATE,-1,400,0.7902,0.4895,0.7115499999999999,0.11535,0.765,0.48385,-1,0.9952000000000001
SSP_photo_t0,?,?,?,unmapped,rotation0,0,200,0.7893,0.5482,0.6096,0.058,0.767,0.538,139,0.9947
SSP_photo_t0,?,?,?,unmapped,rotation1,1,200,0.733,0.431,0.8326,0.2103,0.7268,0.4284,174,0.986
SSP_photo_t0,?,?,?,unmapped,AGGREGATE,-1,400,0.76115,0.48960000000000004,0.7211000000000001,0.13415,0.7469,0.4832,-1,0.9903500000000001
SSP_photo_t1,?,?,?,unmapped,rotation0,0,200,0.7928,0.546,0.6165,0.0586,0.7894,0.5445,163,0.9952
SSP_photo_t1,?,?,?,unmapped,rotation1,1,200,0.7547,0.4343,0.8513,0.157,0.6566,0.3902,105,0.9952
SSP_photo_t1,?,?,?,unmapped,AGGREGATE,-1,400,0.7737499999999999,0.49015000000000003,0.7339,0.1078,0.723,0.46735,-1,0.9952
X_yelp_full_s0,yelp,"full, gate ON",0,crossover,rotation0,0,400,0.7517,0.3907,0.5,0.0,0.7365,0.3419,189,0.668
X_yelp_full_s0,yelp,"full, gate ON",0,crossover,AGGREGATE,-1,400,0.7517,0.3907,0.5,0.0,0.7365,0.3419,-1,0.668
X_yelp_full_s1,yelp,"full, gate ON",1,crossover,rotation0,0,400,0.7346,0.3426,0.5,0.0,0.7336,0.3389,218,0.735
X_yelp_full_s1,yelp,"full, gate ON",1,crossover,AGGREGATE,-1,400,0.7346,0.3426,0.5,0.0,0.7336,0.3389,-1,0.735
cmp_h16-gateOff-s0,yelp,"lean h16, gate OFF",0,compression,rotation0,0,400,0.7302,0.342,0.5,0.0,0.7238,0.3313,361,0.6488
cmp_h16-gateOff-s0,yelp,"lean h16, gate OFF",0,compression,AGGREGATE,-1,400,0.7302,0.342,0.5,0.0,0.7238,0.3313,-1,0.6488
cmp_h16-gateOff-s42,yelp,"lean h16, gate OFF",42,compression,rotation0,0,400,0.6997,0.2746,0.5,0.0,0.6992,0.2727,398,0.6234
cmp_h16-gateOff-s42,yelp,"lean h16, gate OFF",42,compression,AGGREGATE,-1,400,0.6997,0.2746,0.5,0.0,0.6992,0.2727,-1,0.6234
