# gpu=4 cmd=/usr/bin/python3 -u baselines/run_nsreg.py --dataset photo --seed 42 --method nsreg --tag NT_lr0.003_wd0.0 --rotations 0 --set lr=0.003 lbl_lr=0.003 clf_lr=0.003 weight_decay=0.0 n_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(0)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 477  num train neg edges: 3188
NSReg Training ...
Batch mode: enabled original propertion
Epoch 127 loss=0.5953, clf_loss=0.0006, lbl_loss=0.5947
Epoch 128 loss=0.6030, clf_loss=0.0029, lbl_loss=0.6001
Epoch 129 loss=0.5835, clf_loss=0.0007, lbl_loss=0.5828
Epoch 130 loss=0.5657, clf_loss=0.0014, lbl_loss=0.5643
Epoch 131 loss=0.5883, clf_loss=0.0048, lbl_loss=0.5835
Epoch 132 loss=0.6067, clf_loss=0.0085, lbl_loss=0.5982
Epoch 133 loss=0.5674, clf_loss=0.0016, lbl_loss=0.5658
Epoch 134 loss=0.5242, clf_loss=0.0013, lbl_loss=0.5229
Epoch 135 loss=0.5997, clf_loss=0.0021, lbl_loss=0.5976
Epoch 136 loss=0.5649, clf_loss=0.0067, lbl_loss=0.5582
Epoch 137 loss=0.5858, clf_loss=0.0022, lbl_loss=0.5835
Epoch 138 loss=0.5449, clf_loss=0.0022, lbl_loss=0.5427
Epoch 139 loss=0.6166, clf_loss=0.0120, lbl_loss=0.6046
Epoch 140 loss=0.5225, clf_loss=0.0010, lbl_loss=0.5216
Epoch 141 loss=0.5375, clf_loss=0.0013, lbl_loss=0.5362
Epoch 142 loss=0.5759, clf_loss=0.0012, lbl_loss=0.5747
Epoch 143 loss=0.5717, clf_loss=0.0026, lbl_loss=0.5691
Epoch 144 loss=0.5692, clf_loss=0.0109, lbl_loss=0.5582
Epoch 145 loss=0.5524, clf_loss=0.0009, lbl_loss=0.5515
Epoch 146 loss=0.5690, clf_loss=0.0008, lbl_loss=0.5682
Epoch 147 loss=0.5638, clf_loss=0.0012, lbl_loss=0.5626
Epoch 148 loss=0.5297, clf_loss=0.0013, lbl_loss=0.5284
Epoch 149 loss=0.5652, clf_loss=0.0008, lbl_loss=0.5645
Epoch 150 loss=0.5642, clf_loss=0.0011, lbl_loss=0.5631
Epoch 151 loss=0.5799, clf_loss=0.0012, lbl_loss=0.5787
Epoch 152 loss=0.5605, clf_loss=0.0044, lbl_loss=0.5561
Epoch 153 loss=0.5414, clf_loss=0.0006, lbl_loss=0.5407
Epoch 154 loss=0.5236, clf_loss=0.0005, lbl_loss=0.5231
Epoch 155 loss=0.5393, clf_loss=0.0019, lbl_loss=0.5374
Epoch 156 loss=0.5592, clf_loss=0.0009, lbl_loss=0.5583
Epoch 157 loss=0.5587, clf_loss=0.0019, lbl_loss=0.5569
Epoch 158 loss=0.5521, clf_loss=0.0036, lbl_loss=0.5484
Epoch 159 loss=0.5307, clf_loss=0.0020, lbl_loss=0.5287
Epoch 160 loss=0.5672, clf_loss=0.0006, lbl_loss=0.5666
Epoch 161 loss=0.5359, clf_loss=0.0007, lbl_loss=0.5352
Epoch 162 loss=0.5547, clf_loss=0.0092, lbl_loss=0.5455
Epoch 163 loss=0.5440, clf_loss=0.0023, lbl_loss=0.5417
Epoch 164 loss=0.5424, clf_loss=0.0034, lbl_loss=0.5390
Epoch 165 loss=0.5677, clf_loss=0.0023, lbl_loss=0.5654
Epoch 166 loss=0.5456, clf_loss=0.0031, lbl_loss=0.5425
Epoch 167 loss=0.5622, clf_loss=0.0034, lbl_loss=0.5588
Epoch 168 loss=0.5684, clf_loss=0.0129, lbl_loss=0.5555
Epoch 169 loss=0.5366, clf_loss=0.0006, lbl_loss=0.5360
Epoch 170 loss=0.5169, clf_loss=0.0005, lbl_loss=0.5164
Epoch 171 loss=0.5127, clf_loss=0.0009, lbl_loss=0.5118
Epoch 172 loss=0.5411, clf_loss=0.0261, lbl_loss=0.5149
Epoch 173 loss=0.5412, clf_loss=0.0018, lbl_loss=0.5394
Epoch 174 loss=0.5144, clf_loss=0.0009, lbl_loss=0.5136
Epoch 175 loss=0.5446, clf_loss=0.0016, lbl_loss=0.5430
Epoch 176 loss=0.5358, clf_loss=0.0020, lbl_loss=0.5338
Epoch 177 loss=0.5162, clf_loss=0.0018, lbl_loss=0.5144
Epoch 178 loss=0.5241, clf_loss=0.0044, lbl_loss=0.5197
Epoch 179 loss=0.5268, clf_loss=0.0016, lbl_loss=0.5252
Epoch 180 loss=0.5074, clf_loss=0.0023, lbl_loss=0.5051
Epoch 181 loss=0.5294, clf_loss=0.0025, lbl_loss=0.5269
Epoch 182 loss=0.5080, clf_loss=0.0034, lbl_loss=0.5046
Epoch 183 loss=0.5360, clf_loss=0.0064, lbl_loss=0.5296
