/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] NSReg, rotations [np.int64(7)] of [np.int64(0), np.int64(7)]
[photo] n_epochs=400 eval_every=1 input_dim=745 wd=0.0 lr=0.003
Normal classes: [1, 2, 3, 4, 5, 6] in photo
using idx from: split_50.pkl - num known anomalies 50
num known anomalies: 50
Building multi-layer GraphSage
GRAPHSAGE used as the encoder
building the dataloader ...
/nas/home/jahin/.local/lib/python3.10/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4314.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
num train pos edges: 714  num train neg edges: 2790
NSReg Training ...
Batch mode: enabled original propertion
Epoch 108 loss=0.6521, clf_loss=0.0126, lbl_loss=0.6395
Epoch 109 loss=0.6720, clf_loss=0.0272, lbl_loss=0.6447
Epoch 110 loss=0.6305, clf_loss=0.0221, lbl_loss=0.6084
Epoch 111 loss=0.6772, clf_loss=0.0353, lbl_loss=0.6419
Epoch 112 loss=0.6820, clf_loss=0.0509, lbl_loss=0.6311
Epoch 113 loss=0.6132, clf_loss=0.0089, lbl_loss=0.6043
Epoch 114 loss=0.6682, clf_loss=0.0480, lbl_loss=0.6201
Epoch 115 loss=0.6435, clf_loss=0.0163, lbl_loss=0.6271
Epoch 116 loss=0.6578, clf_loss=0.0232, lbl_loss=0.6347
Epoch 117 loss=0.6564, clf_loss=0.0269, lbl_loss=0.6295
Epoch 118 loss=0.6656, clf_loss=0.0244, lbl_loss=0.6412
Epoch 119 loss=0.6025, clf_loss=0.0106, lbl_loss=0.5919
Epoch 120 loss=0.6420, clf_loss=0.0100, lbl_loss=0.6320
Epoch 121 loss=0.6265, clf_loss=0.0157, lbl_loss=0.6108
Epoch 122 loss=0.6511, clf_loss=0.0349, lbl_loss=0.6163
Epoch 123 loss=0.6167, clf_loss=0.0137, lbl_loss=0.6030
Epoch 124 loss=0.6558, clf_loss=0.0412, lbl_loss=0.6146
Epoch 125 loss=0.6170, clf_loss=0.0110, lbl_loss=0.6061
Epoch 126 loss=0.6148, clf_loss=0.0140, lbl_loss=0.6009
Epoch 127 loss=0.6436, clf_loss=0.0216, lbl_loss=0.6219
Epoch 128 loss=0.6419, clf_loss=0.0186, lbl_loss=0.6234
Epoch 129 loss=0.6283, clf_loss=0.0120, lbl_loss=0.6163
