2026-08-09 21:09:09,431 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 21:40:35,305 INFO [OUTPOST-v4] epoch 292 cur={'auroc_all': 0.6963049311653127, 'aupr_all': 0.3149461040075927, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7353741496598639} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:42,123 INFO [OUTPOST-v4] epoch 293 cur={'auroc_all': 0.6965777923146071, 'aupr_all': 0.31585394870025807, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7352891156462584} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:48,691 INFO [OUTPOST-v4] epoch 294 cur={'auroc_all': 0.698814977026694, 'aupr_all': 0.318327666846827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7340136054421769} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:40:55,153 INFO [OUTPOST-v4] epoch 295 cur={'auroc_all': 0.7007665878431232, 'aupr_all': 0.3201604614114736, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7355442176870748} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32104143302006705, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:01,521 INFO [OUTPOST-v4] epoch 296 cur={'auroc_all': 0.7026120996754528, 'aupr_all': 0.3217082831129342, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7354591836734694} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.3217082831129342, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:08,084 INFO [OUTPOST-v4] epoch 297 cur={'auroc_all': 0.7037124388842879, 'aupr_all': 0.32260126992182453, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7335884353741496} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32260126992182453, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:14,702 INFO [OUTPOST-v4] epoch 298 cur={'auroc_all': 0.7040136650794805, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7323129251700681} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:21,095 INFO [OUTPOST-v4] epoch 299 cur={'auroc_all': 0.7031392095937293, 'aupr_all': 0.3227075930641887, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7335034013605443} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:27,552 INFO [OUTPOST-v4] epoch 300 cur={'auroc_all': 0.7012005434856106, 'aupr_all': 0.3215965883283681, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7343537414965986} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:34,182 INFO [OUTPOST-v4] epoch 301 cur={'auroc_all': 0.6988012748497242, 'aupr_all': 0.31987817853740175, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7328231292517007} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:41:40,977 INFO [OUTPOST-v4] epoch 302 cur={'auroc_all': 0.6970139793078611, 'aupr_all': 0.31846677991574585, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7322278911564626} best={'auroc_all': 0.7193618009187286, 'aupr_all': 0.32282982750182126, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
