2026-08-21 20:21:11,380 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:32:33,250 INFO [OUTPOST-v4] epoch 148 cur={'auroc_all': 0.7036885591202893, 'aupr_all': 0.2829335095512734, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6951530612244897} best={'auroc_all': 0.7036885591202893, 'aupr_all': 0.2829335095512734, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:37,886 INFO [OUTPOST-v4] epoch 149 cur={'auroc_all': 0.7042155027649577, 'aupr_all': 0.2837571533012715, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6944727891156462} best={'auroc_all': 0.7042155027649577, 'aupr_all': 0.2837571533012715, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:42,403 INFO [OUTPOST-v4] epoch 150 cur={'auroc_all': 0.7046814383647506, 'aupr_all': 0.28448886702293974, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6951530612244898} best={'auroc_all': 0.7046814383647506, 'aupr_all': 0.28448886702293974, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:46,963 INFO [OUTPOST-v4] epoch 151 cur={'auroc_all': 0.7050742033131441, 'aupr_all': 0.2851271107700416, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6952380952380952} best={'auroc_all': 0.7050742033131441, 'aupr_all': 0.2851271107700416, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:51,728 INFO [OUTPOST-v4] epoch 152 cur={'auroc_all': 0.7053760514947969, 'aupr_all': 0.28560336675244563, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6959183673469388} best={'auroc_all': 0.7053760514947969, 'aupr_all': 0.28560336675244563, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:32:56,354 INFO [OUTPOST-v4] epoch 153 cur={'auroc_all': 0.7056268126235284, 'aupr_all': 0.2859740988869579, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6959183673469388} best={'auroc_all': 0.7056268126235284, 'aupr_all': 0.2859740988869579, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:01,281 INFO [OUTPOST-v4] epoch 154 cur={'auroc_all': 0.7058781690528325, 'aupr_all': 0.28638308353737063, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6962585034013605} best={'auroc_all': 0.7058781690528325, 'aupr_all': 0.28638308353737063, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:06,198 INFO [OUTPOST-v4] epoch 155 cur={'auroc_all': 0.7060828149148034, 'aupr_all': 0.28669404674706156, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6965986394557824} best={'auroc_all': 0.7060828149148034, 'aupr_all': 0.28669404674706156, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:11,083 INFO [OUTPOST-v4] epoch 156 cur={'auroc_all': 0.7062985107870557, 'aupr_all': 0.28706008811343364, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6964285714285714} best={'auroc_all': 0.7062985107870557, 'aupr_all': 0.28706008811343364, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:33:15,730 INFO [OUTPOST-v4] epoch 157 cur={'auroc_all': 0.706522113893119, 'aupr_all': 0.2874377948664651, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6974489795918367} best={'auroc_all': 0.706522113893119, 'aupr_all': 0.2874377948664651, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
