2026-08-09 11:54:42,767 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['use_conformal=false'], 'tag': 'C_noconformal', 'rotations': None}
2026-08-09 11:58:18,817 INFO [OUTPOST-v4] epoch 38 cur={'auroc_all': 0.6047676662157409, 'aupr_all': 0.1861559792322414, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5681972789115646} best={'auroc_all': 0.6047676662157409, 'aupr_all': 0.1861559792322414, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:25,039 INFO [OUTPOST-v4] epoch 39 cur={'auroc_all': 0.6067762739828433, 'aupr_all': 0.1871258950400911, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5672619047619047} best={'auroc_all': 0.6067762739828433, 'aupr_all': 0.1871258950400911, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:31,154 INFO [OUTPOST-v4] epoch 40 cur={'auroc_all': 0.6089244386789789, 'aupr_all': 0.1881891736908836, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5668367346938776} best={'auroc_all': 0.6089244386789789, 'aupr_all': 0.1881891736908836, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:37,556 INFO [OUTPOST-v4] epoch 41 cur={'auroc_all': 0.6111704358922989, 'aupr_all': 0.18935088129122424, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5670068027210884} best={'auroc_all': 0.6111704358922989, 'aupr_all': 0.18935088129122424, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:44,169 INFO [OUTPOST-v4] epoch 42 cur={'auroc_all': 0.6134614480927009, 'aupr_all': 0.1905718791959434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5673469387755103} best={'auroc_all': 0.6134614480927009, 'aupr_all': 0.1905718791959434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:50,580 INFO [OUTPOST-v4] epoch 43 cur={'auroc_all': 0.6157305696541207, 'aupr_all': 0.19182926120581129, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5668367346938774} best={'auroc_all': 0.6157305696541207, 'aupr_all': 0.19182926120581129, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:58:56,871 INFO [OUTPOST-v4] epoch 44 cur={'auroc_all': 0.6178986379169827, 'aupr_all': 0.19306394249958142, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5664115646258503} best={'auroc_all': 0.6178986379169827, 'aupr_all': 0.19306394249958142, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:03,234 INFO [OUTPOST-v4] epoch 45 cur={'auroc_all': 0.6198559020360898, 'aupr_all': 0.19422023491218393, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5676020408163265} best={'auroc_all': 0.6198559020360898, 'aupr_all': 0.19422023491218393, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:09,609 INFO [OUTPOST-v4] epoch 46 cur={'auroc_all': 0.6216305628364921, 'aupr_all': 0.19528592942527856, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5673469387755102} best={'auroc_all': 0.6216305628364921, 'aupr_all': 0.19528592942527856, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:16,161 INFO [OUTPOST-v4] epoch 47 cur={'auroc_all': 0.6231991736866769, 'aupr_all': 0.1962293011543135, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5674319727891156} best={'auroc_all': 0.6231991736866769, 'aupr_all': 0.1962293011543135, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:22,770 INFO [OUTPOST-v4] epoch 48 cur={'auroc_all': 0.6245730555613238, 'aupr_all': 0.1970662269345897, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5668367346938775} best={'auroc_all': 0.6245730555613238, 'aupr_all': 0.1970662269345897, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:29,136 INFO [OUTPOST-v4] epoch 49 cur={'auroc_all': 0.6257588840378872, 'aupr_all': 0.19777717011775572, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5677721088435375} best={'auroc_all': 0.6257588840378872, 'aupr_all': 0.19777717011775572, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:35,389 INFO [OUTPOST-v4] epoch 50 cur={'auroc_all': 0.6267957888388237, 'aupr_all': 0.19840076886365438, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5693027210884354} best={'auroc_all': 0.6267957888388237, 'aupr_all': 0.19840076886365438, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:41,631 INFO [OUTPOST-v4] epoch 51 cur={'auroc_all': 0.6277021093272869, 'aupr_all': 0.1989380556866326, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.569812925170068} best={'auroc_all': 0.6277021093272869, 'aupr_all': 0.1989380556866326, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:48,192 INFO [OUTPOST-v4] epoch 52 cur={'auroc_all': 0.6284729311944126, 'aupr_all': 0.1993828573271456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.569982993197279} best={'auroc_all': 0.6284729311944126, 'aupr_all': 0.1993828573271456, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 11:59:54,611 INFO [OUTPOST-v4] epoch 53 cur={'auroc_all': 0.6291257008524959, 'aupr_all': 0.19975846307017145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.571045918367347} best={'auroc_all': 0.6291257008524959, 'aupr_all': 0.19975846307017145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:00,929 INFO [OUTPOST-v4] epoch 54 cur={'auroc_all': 0.6295684731017377, 'aupr_all': 0.20001276840130783, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5717687074829931} best={'auroc_all': 0.6295684731017377, 'aupr_all': 0.20001276840130783, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:07,309 INFO [OUTPOST-v4] epoch 55 cur={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5723639455782313} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:13,880 INFO [OUTPOST-v4] epoch 56 cur={'auroc_all': 0.6297031670409219, 'aupr_all': 0.20006997266032822, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5729591836734693} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:20,268 INFO [OUTPOST-v4] epoch 57 cur={'auroc_all': 0.6294496901099234, 'aupr_all': 0.1999498386616228, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5726190476190476} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:26,394 INFO [OUTPOST-v4] epoch 58 cur={'auroc_all': 0.6291092459235685, 'aupr_all': 0.1998193118810078, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5727040816326531} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:32,659 INFO [OUTPOST-v4] epoch 59 cur={'auroc_all': 0.6287879108855898, 'aupr_all': 0.19970492696016573, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5733843537414967} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:39,038 INFO [OUTPOST-v4] epoch 60 cur={'auroc_all': 0.6285528266895203, 'aupr_all': 0.199650781679283, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5732993197278912} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 12:00:45,756 INFO [OUTPOST-v4] epoch 61 cur={'auroc_all': 0.6285519768466341, 'aupr_all': 0.19975049670096381, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5746598639455782} best={'auroc_all': 0.6297592279327641, 'aupr_all': 0.20009943095034827, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
