2026-08-10 00:07:18,203 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_fview_gate=true'], 'tag': 'C_fview', 'rotations': None}
2026-08-10 00:41:31,220 INFO [OUTPOST-v4] epoch 333 cur={'auroc_all': 0.7253238983201332, 'aupr_all': 0.35493527030006183, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7914965986394558} best={'auroc_all': 0.7253238983201332, 'aupr_all': 0.35493527030006183, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:37,207 INFO [OUTPOST-v4] epoch 334 cur={'auroc_all': 0.7254026340055049, 'aupr_all': 0.3554568480008822, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7919217687074829} best={'auroc_all': 0.7254026340055049, 'aupr_all': 0.3554568480008822, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:43,209 INFO [OUTPOST-v4] epoch 335 cur={'auroc_all': 0.7259146376585648, 'aupr_all': 0.356502696367232, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7920918367346939} best={'auroc_all': 0.7259146376585648, 'aupr_all': 0.356502696367232, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:49,186 INFO [OUTPOST-v4] epoch 336 cur={'auroc_all': 0.7269273609396953, 'aupr_all': 0.35814188250156725, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7931122448979592} best={'auroc_all': 0.7269273609396953, 'aupr_all': 0.35814188250156725, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:41:55,139 INFO [OUTPOST-v4] epoch 337 cur={'auroc_all': 0.7273423962877812, 'aupr_all': 0.3590904804088178, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7932823129251702} best={'auroc_all': 0.7273423962877812, 'aupr_all': 0.3590904804088178, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:01,101 INFO [OUTPOST-v4] epoch 338 cur={'auroc_all': 0.7272972376074576, 'aupr_all': 0.35958704094588867, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7937925170068028} best={'auroc_all': 0.7273423962877812, 'aupr_all': 0.35958704094588867, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:07,067 INFO [OUTPOST-v4] epoch 339 cur={'auroc_all': 0.7273508495559102, 'aupr_all': 0.3602472863296311, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7933673469387754} best={'auroc_all': 0.7273508495559102, 'aupr_all': 0.3602472863296311, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:13,071 INFO [OUTPOST-v4] epoch 340 cur={'auroc_all': 0.728042461549967, 'aupr_all': 0.3615869355986947, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7943027210884355} best={'auroc_all': 0.728042461549967, 'aupr_all': 0.3615869355986947, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:19,037 INFO [OUTPOST-v4] epoch 341 cur={'auroc_all': 0.7292229158992933, 'aupr_all': 0.3633891188961128, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7952380952380953} best={'auroc_all': 0.7292229158992933, 'aupr_all': 0.3633891188961128, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:25,025 INFO [OUTPOST-v4] epoch 342 cur={'auroc_all': 0.7296757323061254, 'aupr_all': 0.36443720984700645, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7952380952380952} best={'auroc_all': 0.7296757323061254, 'aupr_all': 0.36443720984700645, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:31,052 INFO [OUTPOST-v4] epoch 343 cur={'auroc_all': 0.7294020808440019, 'aupr_all': 0.36449265417767523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7954081632653062} best={'auroc_all': 0.7296757323061254, 'aupr_all': 0.36449265417767523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:37,014 INFO [OUTPOST-v4] epoch 344 cur={'auroc_all': 0.7289988386055328, 'aupr_all': 0.36451737644351634, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7952380952380953} best={'auroc_all': 0.7296757323061254, 'aupr_all': 0.36451737644351634, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:42,993 INFO [OUTPOST-v4] epoch 345 cur={'auroc_all': 0.7294101687207453, 'aupr_all': 0.3654794188833492, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7953231292517008} best={'auroc_all': 0.7296757323061254, 'aupr_all': 0.3654794188833492, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:48,993 INFO [OUTPOST-v4] epoch 346 cur={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3667023053068351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7945578231292517} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3667023053068351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:42:55,008 INFO [OUTPOST-v4] epoch 347 cur={'auroc_all': 0.7295509880975439, 'aupr_all': 0.3665734114959643, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7950680272108843} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3667023053068351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:01,034 INFO [OUTPOST-v4] epoch 348 cur={'auroc_all': 0.7286038279370486, 'aupr_all': 0.3660249684837812, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7940476190476191} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3667023053068351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:07,005 INFO [OUTPOST-v4] epoch 349 cur={'auroc_all': 0.7279434651175254, 'aupr_all': 0.365751024587863, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7945578231292517} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3667023053068351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:12,981 INFO [OUTPOST-v4] epoch 350 cur={'auroc_all': 0.728044421936335, 'aupr_all': 0.36626305173241924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7943027210884354} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3667023053068351, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:18,946 INFO [OUTPOST-v4] epoch 351 cur={'auroc_all': 0.7288716639284072, 'aupr_all': 0.3674178826268024, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7945578231292518} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.3674178826268024, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:24,944 INFO [OUTPOST-v4] epoch 352 cur={'auroc_all': 0.72890950246445, 'aupr_all': 0.36786396974566693, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7943027210884355} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.36786396974566693, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 00:43:30,925 INFO [OUTPOST-v4] epoch 353 cur={'auroc_all': 0.728294949050359, 'aupr_all': 0.3677219222165079, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7931122448979593} best={'auroc_all': 0.7300507326643321, 'aupr_all': 0.36786396974566693, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
