2026-08-10 07:05:12,814 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': None}
2026-08-10 07:20:26,705 INFO [OUTPOST-v4] epoch 124 cur={'auroc_all': 0.5944041319213329, 'aupr_all': 0.1946185112764199, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5731292517006803} best={'auroc_all': 0.5944041319213329, 'aupr_all': 0.1946185112764199, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:33,847 INFO [OUTPOST-v4] epoch 125 cur={'auroc_all': 0.5955951703042857, 'aupr_all': 0.19537627243712513, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5731292517006803} best={'auroc_all': 0.5955951703042857, 'aupr_all': 0.19537627243712513, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:41,012 INFO [OUTPOST-v4] epoch 126 cur={'auroc_all': 0.596945948358439, 'aupr_all': 0.19625198048750578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5739795918367347} best={'auroc_all': 0.596945948358439, 'aupr_all': 0.19625198048750578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:48,236 INFO [OUTPOST-v4] epoch 127 cur={'auroc_all': 0.5983836916151881, 'aupr_all': 0.19716780946177098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5744897959183674} best={'auroc_all': 0.5983836916151881, 'aupr_all': 0.19716780946177098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:20:55,278 INFO [OUTPOST-v4] epoch 128 cur={'auroc_all': 0.5998596716435355, 'aupr_all': 0.19809028309442991, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5753401360544219} best={'auroc_all': 0.5998596716435355, 'aupr_all': 0.19809028309442991, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:02,204 INFO [OUTPOST-v4] epoch 129 cur={'auroc_all': 0.6013130035642411, 'aupr_all': 0.1990574989045198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5764455782312925} best={'auroc_all': 0.6013130035642411, 'aupr_all': 0.1990574989045198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:09,291 INFO [OUTPOST-v4] epoch 130 cur={'auroc_all': 0.6027599555050183, 'aupr_all': 0.20009562156675845, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5771258503401361} best={'auroc_all': 0.6027599555050183, 'aupr_all': 0.20009562156675845, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:16,502 INFO [OUTPOST-v4] epoch 131 cur={'auroc_all': 0.6043148867585996, 'aupr_all': 0.20113517459736363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5773809523809523} best={'auroc_all': 0.6043148867585996, 'aupr_all': 0.20113517459736363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:24,666 INFO [OUTPOST-v4] epoch 132 cur={'auroc_all': 0.6057541921661614, 'aupr_all': 0.202095917937587, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5778061224489797} best={'auroc_all': 0.6057541921661614, 'aupr_all': 0.202095917937587, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:21:32,054 INFO [OUTPOST-v4] epoch 133 cur={'auroc_all': 0.6069507709499594, 'aupr_all': 0.2029361382087953, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5783163265306122} best={'auroc_all': 0.6069507709499594, 'aupr_all': 0.2029361382087953, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
