2026-08-21 21:13:04,517 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['alpha_plus=0.01'], 'tag': 'T_alpha0.01', 'rotations': None}
2026-08-21 21:37:47,644 INFO [OUTPOST-v4] epoch 315 cur={'auroc_all': 0.7682605474103248, 'aupr_all': 0.42189646249536494, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.670578231292517} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42189646249536494, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:52,737 INFO [OUTPOST-v4] epoch 316 cur={'auroc_all': 0.7679759136790194, 'aupr_all': 0.42221398625914336, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.670578231292517} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42221398625914336, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:37:57,692 INFO [OUTPOST-v4] epoch 317 cur={'auroc_all': 0.7683811347787017, 'aupr_all': 0.422953185314163, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6722789115646259} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.422953185314163, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:02,462 INFO [OUTPOST-v4] epoch 318 cur={'auroc_all': 0.7686304117615234, 'aupr_all': 0.4236166589126775, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6732993197278911} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4236166589126775, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:07,251 INFO [OUTPOST-v4] epoch 319 cur={'auroc_all': 0.7683989917431154, 'aupr_all': 0.4239512017807934, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6726190476190477} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4239512017807934, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:12,049 INFO [OUTPOST-v4] epoch 320 cur={'auroc_all': 0.7680531077411843, 'aupr_all': 0.42426190948236975, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6710884353741496} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42426190948236975, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:17,012 INFO [OUTPOST-v4] epoch 321 cur={'auroc_all': 0.7681457221409369, 'aupr_all': 0.42484989127921796, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6700680272108843} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42484989127921796, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:21,905 INFO [OUTPOST-v4] epoch 322 cur={'auroc_all': 0.7684319098120125, 'aupr_all': 0.42540110926187025, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6717687074829932} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42540110926187025, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:26,764 INFO [OUTPOST-v4] epoch 323 cur={'auroc_all': 0.7684355514093076, 'aupr_all': 0.42591670362920164, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.670578231292517} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42591670362920164, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:31,577 INFO [OUTPOST-v4] epoch 324 cur={'auroc_all': 0.7679949489280143, 'aupr_all': 0.4260244325576339, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.668452380952381} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4260244325576339, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:36,451 INFO [OUTPOST-v4] epoch 325 cur={'auroc_all': 0.7678191258775542, 'aupr_all': 0.426276468646402, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6666666666666667} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.426276468646402, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:41,137 INFO [OUTPOST-v4] epoch 326 cur={'auroc_all': 0.7681658679334138, 'aupr_all': 0.4268887147479983, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6680272108843538} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4268887147479983, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:45,864 INFO [OUTPOST-v4] epoch 327 cur={'auroc_all': 0.7682856855165678, 'aupr_all': 0.42738628380992744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6696428571428571} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42738628380992744, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:50,618 INFO [OUTPOST-v4] epoch 328 cur={'auroc_all': 0.7679589003992102, 'aupr_all': 0.4277987017103757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6683673469387756} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4277987017103757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:38:55,321 INFO [OUTPOST-v4] epoch 329 cur={'auroc_all': 0.7675417466021907, 'aupr_all': 0.42810102937878913, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6656462585034013} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.42810102937878913, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:00,437 INFO [OUTPOST-v4] epoch 330 cur={'auroc_all': 0.7675516778579479, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6665816326530611} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:05,256 INFO [OUTPOST-v4] epoch 331 cur={'auroc_all': 0.7677637382911868, 'aupr_all': 0.42833786334283663, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6668367346938775} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:39:10,259 INFO [OUTPOST-v4] epoch 332 cur={'auroc_all': 0.7677183640710009, 'aupr_all': 0.4281801425230574, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6664115646258504} best={'auroc_all': 0.7686427611692612, 'aupr_all': 0.4283587400143363, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
