2026-08-21 20:45:23,818 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['warmup_epochs=5'], 'tag': 'T_warmup5', 'rotations': None}
2026-08-21 20:58:58,361 INFO [OUTPOST-v4] epoch 169 cur={'auroc_all': 0.6756224423783327, 'aupr_all': 0.28685735879739077, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5892857142857143} best={'auroc_all': 0.6756224423783327, 'aupr_all': 0.28685735879739077, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:03,064 INFO [OUTPOST-v4] epoch 170 cur={'auroc_all': 0.6763652625381857, 'aupr_all': 0.2874928445254228, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5898809523809524} best={'auroc_all': 0.6763652625381857, 'aupr_all': 0.2874928445254228, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:07,793 INFO [OUTPOST-v4] epoch 171 cur={'auroc_all': 0.6771293616143639, 'aupr_all': 0.28815940598911916, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5901360544217686} best={'auroc_all': 0.6771293616143639, 'aupr_all': 0.28815940598911916, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:12,491 INFO [OUTPOST-v4] epoch 172 cur={'auroc_all': 0.6779665492315174, 'aupr_all': 0.288846659878807, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5911564625850341} best={'auroc_all': 0.6779665492315174, 'aupr_all': 0.288846659878807, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:17,032 INFO [OUTPOST-v4] epoch 173 cur={'auroc_all': 0.6789025567437017, 'aupr_all': 0.2896135075317798, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5922619047619048} best={'auroc_all': 0.6789025567437017, 'aupr_all': 0.2896135075317798, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:21,635 INFO [OUTPOST-v4] epoch 174 cur={'auroc_all': 0.6797847408730918, 'aupr_all': 0.29033840328702726, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5932823129251701} best={'auroc_all': 0.6797847408730918, 'aupr_all': 0.29033840328702726, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:26,629 INFO [OUTPOST-v4] epoch 175 cur={'auroc_all': 0.6805922394137638, 'aupr_all': 0.2910372446618472, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.593452380952381} best={'auroc_all': 0.6805922394137638, 'aupr_all': 0.2910372446618472, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:31,648 INFO [OUTPOST-v4] epoch 176 cur={'auroc_all': 0.6813203330691102, 'aupr_all': 0.2916892255306392, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5944727891156463} best={'auroc_all': 0.6813203330691102, 'aupr_all': 0.2916892255306392, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:36,430 INFO [OUTPOST-v4] epoch 177 cur={'auroc_all': 0.6821229973585816, 'aupr_all': 0.292400669254662, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5954081632653061} best={'auroc_all': 0.6821229973585816, 'aupr_all': 0.292400669254662, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:41,243 INFO [OUTPOST-v4] epoch 178 cur={'auroc_all': 0.6830082873147516, 'aupr_all': 0.29315043075230623, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5959183673469388} best={'auroc_all': 0.6830082873147516, 'aupr_all': 0.29315043075230623, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:46,046 INFO [OUTPOST-v4] epoch 179 cur={'auroc_all': 0.6839277311016968, 'aupr_all': 0.29394074848486806, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5975340136054422} best={'auroc_all': 0.6839277311016968, 'aupr_all': 0.29394074848486806, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:50,809 INFO [OUTPOST-v4] epoch 180 cur={'auroc_all': 0.6849870684704126, 'aupr_all': 0.29480074104473064, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5986394557823129} best={'auroc_all': 0.6849870684704126, 'aupr_all': 0.29480074104473064, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:59:55,416 INFO [OUTPOST-v4] epoch 181 cur={'auroc_all': 0.6860679126118794, 'aupr_all': 0.2956760322811455, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5997448979591836} best={'auroc_all': 0.6860679126118794, 'aupr_all': 0.2956760322811455, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:00,052 INFO [OUTPOST-v4] epoch 182 cur={'auroc_all': 0.6871876401445318, 'aupr_all': 0.2965716201956051, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6011054421768707} best={'auroc_all': 0.6871876401445318, 'aupr_all': 0.2965716201956051, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:04,820 INFO [OUTPOST-v4] epoch 183 cur={'auroc_all': 0.6883432458268588, 'aupr_all': 0.29749732143514684, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6016156462585034} best={'auroc_all': 0.6883432458268588, 'aupr_all': 0.29749732143514684, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:09,529 INFO [OUTPOST-v4] epoch 184 cur={'auroc_all': 0.6894747931550156, 'aupr_all': 0.2984369690447951, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6035714285714286} best={'auroc_all': 0.6894747931550156, 'aupr_all': 0.2984369690447951, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:14,218 INFO [OUTPOST-v4] epoch 185 cur={'auroc_all': 0.6905672046024338, 'aupr_all': 0.2993797011396335, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6051020408163266} best={'auroc_all': 0.6905672046024338, 'aupr_all': 0.2993797011396335, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 21:00:18,935 INFO [OUTPOST-v4] epoch 186 cur={'auroc_all': 0.6916508425510701, 'aupr_all': 0.3003316430074848, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6058673469387755} best={'auroc_all': 0.6916508425510701, 'aupr_all': 0.3003316430074848, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
