# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 1 --method outpost --tag C_hopmix --set use_hybrid=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'edge_index', 'y', 'x'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 31: test-all ROC 0.5696 PR 0.1719 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5315 | tau+ 0.500 | w 0.234 (a 0.228 / n 0.235)
[OUTPOST-v4] epoch 32: test-all ROC 0.5693 PR 0.1718 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5309 | tau+ 0.500 | w 0.233 (a 0.227 / n 0.234)
[OUTPOST-v4] epoch 33: test-all ROC 0.5691 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5305 | tau+ 0.500 | w 0.233 (a 0.227 / n 0.234)
[OUTPOST-v4] epoch 34: test-all ROC 0.5691 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5309 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 35: test-all ROC 0.5691 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5307 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 36: test-all ROC 0.5693 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5318 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 37: test-all ROC 0.5697 PR 0.1718 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5327 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 38: test-all ROC 0.5701 PR 0.1720 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5337 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 39: test-all ROC 0.5706 PR 0.1722 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5344 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 40: test-all ROC 0.5710 PR 0.1723 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5349 | tau+ 0.500 | w 0.232 (a 0.226 / n 0.233)
[OUTPOST-v4] epoch 41: test-all ROC 0.5716 PR 0.1726 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5352 | tau+ 0.500 | w 0.232 (a 0.227 / n 0.233)
[OUTPOST-v4] epoch 42: test-all ROC 0.5721 PR 0.1728 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5364 | tau+ 0.500 | w 0.233 (a 0.227 / n 0.233)
[OUTPOST-v4] epoch 43: test-all ROC 0.5727 PR 0.1730 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5367 | tau+ 0.500 | w 0.233 (a 0.227 / n 0.234)
[OUTPOST-v4] epoch 44: test-all ROC 0.5733 PR 0.1733 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5379 | tau+ 0.500 | w 0.233 (a 0.228 / n 0.234)
[OUTPOST-v4] epoch 45: test-all ROC 0.5739 PR 0.1736 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5390 | tau+ 0.500 | w 0.233 (a 0.228 / n 0.234)
[OUTPOST-v4] epoch 46: test-all ROC 0.5746 PR 0.1739 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5404 | tau+ 0.500 | w 0.234 (a 0.228 / n 0.235)
[OUTPOST-v4] epoch 47: test-all ROC 0.5754 PR 0.1742 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5409 | tau+ 0.500 | w 0.234 (a 0.229 / n 0.235)
[OUTPOST-v4] epoch 48: test-all ROC 0.5763 PR 0.1747 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5416 | tau+ 0.500 | w 0.235 (a 0.229 / n 0.235)
[OUTPOST-v4] epoch 49: test-all ROC 0.5773 PR 0.1751 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5432 | tau+ 0.500 | w 0.235 (a 0.230 / n 0.236)
[OUTPOST-v4] epoch 50: test-all ROC 0.5784 PR 0.1756 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5450 | tau+ 0.500 | w 0.235 (a 0.230 / n 0.236)
[OUTPOST-v4] epoch 51: test-all ROC 0.5795 PR 0.1762 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5474 | tau+ 0.500 | w 0.236 (a 0.230 / n 0.236)
[OUTPOST-v4] epoch 52: test-all ROC 0.5807 PR 0.1768 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5491 | tau+ 0.500 | w 0.236 (a 0.231 / n 0.237)
[OUTPOST-v4] epoch 53: test-all ROC 0.5819 PR 0.1774 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5511 | tau+ 0.500 | w 0.236 (a 0.231 / n 0.237)
[OUTPOST-v4] epoch 54: test-all ROC 0.5832 PR 0.1780 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5525 | tau+ 0.500 | w 0.237 (a 0.231 / n 0.237)
[OUTPOST-v4] epoch 55: test-all ROC 0.5845 PR 0.1786 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5536 | tau+ 0.500 | w 0.237 (a 0.232 / n 0.238)
[OUTPOST-v4] epoch 56: test-all ROC 0.5859 PR 0.1792 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5559 | tau+ 0.500 | w 0.237 (a 0.232 / n 0.238)
[OUTPOST-v4] epoch 57: test-all ROC 0.5871 PR 0.1798 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5576 | tau+ 0.500 | w 0.237 (a 0.232 / n 0.238)
[OUTPOST-v4] epoch 58: test-all ROC 0.5882 PR 0.1803 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5592 | tau+ 0.500 | w 0.237 (a 0.232 / n 0.238)
[OUTPOST-v4] epoch 59: test-all ROC 0.5891 PR 0.1807 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5605 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 60: test-all ROC 0.5900 PR 0.1811 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5612 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 61: test-all ROC 0.5907 PR 0.1814 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5629 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 62: test-all ROC 0.5913 PR 0.1816 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5631 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 63: test-all ROC 0.5918 PR 0.1817 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5637 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 64: test-all ROC 0.5921 PR 0.1819 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5638 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 65: test-all ROC 0.5924 PR 0.1819 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5646 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 66: test-all ROC 0.5928 PR 0.1821 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5651 | tau+ 0.500 | w 0.238 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 67: test-all ROC 0.5932 PR 0.1823 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5657 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 68: test-all ROC 0.5937 PR 0.1825 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5667 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 69: test-all ROC 0.5943 PR 0.1828 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5673 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 70: test-all ROC 0.5950 PR 0.1831 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5687 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 71: test-all ROC 0.5958 PR 0.1835 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5702 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 72: test-all ROC 0.5968 PR 0.1839 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5716 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 73: test-all ROC 0.5978 PR 0.1844 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5732 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 74: test-all ROC 0.5989 PR 0.1849 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5747 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 75: test-all ROC 0.6002 PR 0.1855 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5759 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 76: test-all ROC 0.6014 PR 0.1861 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5770 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 77: test-all ROC 0.6027 PR 0.1867 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5791 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 78: test-all ROC 0.6040 PR 0.1873 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5811 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 79: test-all ROC 0.6053 PR 0.1879 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5821 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.237)
[OUTPOST-v4] epoch 80: test-all ROC 0.6066 PR 0.1886 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5838 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.237)
[OUTPOST-v4] epoch 81: test-all ROC 0.6080 PR 0.1894 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5849 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.237)
[OUTPOST-v4] epoch 82: test-all ROC 0.6096 PR 0.1902 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5869 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.237)
[OUTPOST-v4] epoch 83: test-all ROC 0.6111 PR 0.1911 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5898 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 84: test-all ROC 0.6128 PR 0.1920 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5932 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 85: test-all ROC 0.6144 PR 0.1929 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5946 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 86: test-all ROC 0.6161 PR 0.1939 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5974 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 87: test-all ROC 0.6178 PR 0.1949 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6007 | tau+ 0.500 | w 0.237 (a 0.233 / n 0.238)
[OUTPOST-v4] epoch 88: test-all ROC 0.6194 PR 0.1958 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6020 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 89: test-all ROC 0.6210 PR 0.1967 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6041 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 90: test-all ROC 0.6225 PR 0.1976 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6062 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 91: test-all ROC 0.6240 PR 0.1985 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6067 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 92: test-all ROC 0.6256 PR 0.1995 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6081 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 93: test-all ROC 0.6271 PR 0.2004 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6094 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 94: test-all ROC 0.6287 PR 0.2014 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6107 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 95: test-all ROC 0.6302 PR 0.2023 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6129 | tau+ 0.500 | w 0.237 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 96: test-all ROC 0.6316 PR 0.2033 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6147 | tau+ 0.500 | w 0.238 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 97: test-all ROC 0.6331 PR 0.2042 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6162 | tau+ 0.500 | w 0.238 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 98: test-all ROC 0.6345 PR 0.2051 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6182 | tau+ 0.500 | w 0.238 (a 0.234 / n 0.238)
[OUTPOST-v4] epoch 99: test-all ROC 0.6360 PR 0.2060 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6192 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 100: test-all ROC 0.6374 PR 0.2070 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6199 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 101: test-all ROC 0.6389 PR 0.2079 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6218 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 102: test-all ROC 0.6403 PR 0.2089 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6219 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 103: test-all ROC 0.6417 PR 0.2099 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6239 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 104: test-all ROC 0.6430 PR 0.2108 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6255 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 105: test-all ROC 0.6444 PR 0.2117 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6262 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 106: test-all ROC 0.6457 PR 0.2127 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6275 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 107: test-all ROC 0.6468 PR 0.2136 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6288 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
[OUTPOST-v4] epoch 108: test-all ROC 0.6479 PR 0.2145 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6294 | tau+ 0.500 | w 0.238 (a 0.235 / n 0.238)
