# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 3 --method outpost --tag C_hopmix --set use_hybrid=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'y', 'edge_index'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 60: test-all ROC 0.5628 PR 0.1809 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5798 | tau+ 0.500 | w 0.265 (a 0.265 / n 0.265)
[OUTPOST-v4] epoch 61: test-all ROC 0.5636 PR 0.1813 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5804 | tau+ 0.500 | w 0.265 (a 0.264 / n 0.265)
[OUTPOST-v4] epoch 62: test-all ROC 0.5643 PR 0.1819 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5807 | tau+ 0.500 | w 0.265 (a 0.264 / n 0.265)
[OUTPOST-v4] epoch 63: test-all ROC 0.5651 PR 0.1824 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5814 | tau+ 0.500 | w 0.265 (a 0.264 / n 0.265)
[OUTPOST-v4] epoch 64: test-all ROC 0.5660 PR 0.1829 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5829 | tau+ 0.500 | w 0.265 (a 0.264 / n 0.265)
[OUTPOST-v4] epoch 65: test-all ROC 0.5668 PR 0.1835 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5836 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.265)
[OUTPOST-v4] epoch 66: test-all ROC 0.5677 PR 0.1841 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5848 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 67: test-all ROC 0.5687 PR 0.1847 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5855 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 68: test-all ROC 0.5697 PR 0.1854 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5867 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 69: test-all ROC 0.5707 PR 0.1860 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5876 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 70: test-all ROC 0.5717 PR 0.1867 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5888 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 71: test-all ROC 0.5727 PR 0.1874 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5906 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 72: test-all ROC 0.5737 PR 0.1881 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5917 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 73: test-all ROC 0.5746 PR 0.1888 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5925 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 74: test-all ROC 0.5756 PR 0.1895 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5940 | tau+ 0.500 | w 0.264 (a 0.264 / n 0.264)
[OUTPOST-v4] epoch 75: test-all ROC 0.5766 PR 0.1902 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5957 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 76: test-all ROC 0.5776 PR 0.1909 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5969 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 77: test-all ROC 0.5786 PR 0.1915 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5972 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 78: test-all ROC 0.5795 PR 0.1922 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5986 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 79: test-all ROC 0.5804 PR 0.1929 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6000 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 80: test-all ROC 0.5813 PR 0.1935 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6003 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 81: test-all ROC 0.5823 PR 0.1942 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6019 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 82: test-all ROC 0.5832 PR 0.1948 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6020 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 83: test-all ROC 0.5841 PR 0.1955 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6029 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 84: test-all ROC 0.5849 PR 0.1961 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6040 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 85: test-all ROC 0.5858 PR 0.1966 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6041 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 86: test-all ROC 0.5866 PR 0.1972 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6043 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 87: test-all ROC 0.5874 PR 0.1978 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6048 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
[OUTPOST-v4] epoch 88: test-all ROC 0.5882 PR 0.1983 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6051 | tau+ 0.500 | w 0.264 (a 0.265 / n 0.264)
